0taskID beam field RA Dec  Good noise bmaj bmin bpa
190411042 27 S1415+36 212.6527420 36.9773800 0 39.4 23.86 11.70 -0.32
190411042 28 S1415+36 213.2384710 36.9824170 0 39.6 23.91 11.74 -0.26
190411042 29 S1415+36 213.8243530 36.9845760 0 38.8 24.38 11.82 -0.18
190411042 30 S1415+36 214.4102660 36.9838560 0 36.1 23.90 11.67 -0.08
190411042 31 S1415+36 214.9960860 36.9802580 0 37.0 23.94 11.66 -0.03
190411042 32 S1415+36 215.5816930 36.9737830 1 43.9 23.95 11.66  0.02
190411042 33 S1415+36 212.3514720 37.3788900 1 45.3 23.59 11.75 -0.34
190411042 34 S1415+36 212.9401670 37.3854590 1 36.5 23.61 11.75 -0.33
190411042 35 S1415+36 213.5290800 37.3891100 1 39.0 23.62 11.73 -0.24
190411042 36 S1415+36 214.1180870 37.3898400 0 39.0 23.68 11.71 -0.15
190411042 37 S1415+36 214.7070620 37.3876490 0 37.4 23.69 11.69 -0.07
190411042 38 S1415+36 215.2958810 37.3825390 0 41.0 23.68 11.69 -0.01
190411042 39 S1415+36 215.8844210 37.3745120 1 48.8 23.72 11.68  0.01
190701001 00 M0142+31 25.5833330 31.5125000 0 60.4 52.47 21.76  0.77
190701001 01 M0142+31 23.8187000 30.4873520 0 120.9 52.93 21.43  0.40
190701001 02 M0142+31 24.3614630 30.4935380 0 229.2 52.89 21.40  0.50
190701001 03 M0142+31 24.9044450 30.4974770 0 59.4 53.35 21.60  0.55
190701001 04 M0142+31 25.4475490 30.4991650 0 78.2 53.62 21.70  0.61
190701001 05 M0142+31 25.9906780 30.4986020 0 72.2 53.65 21.73  0.73
190701001 06 M0142+31 26.5337330 30.4957890 0 81.1 53.54 21.68  0.79
190701001 07 M0142+31 27.0766180 30.4907260 0 90.7 53.68 21.70  0.95
190701001 08 M0142+31 24.0836160 30.8958510 0 81.2 53.18 21.73  0.42
190701001 09 M0142+31 24.6288380 30.9009970 0 118.3 52.56 21.55  0.51
190701001 10 M0142+31 25.1742330 30.9038570 0 68.4 53.25 21.81  0.36
190701001 11 M0142+31 25.7197020 30.9044290 0 34.8 30.87 11.30  0.54
190701001 12 M0142+31 26.2651460 30.9027130 0 79.7 30.69 11.30  0.56
190701001 13 M0142+31 26.8104670 30.8987100 0 91.6 53.42 21.79  0.97
190701001 14 M0142+31 27.3555660 30.8924220 0 83.6 52.92 21.61  0.99
190701001 15 M0142+31 24.3508890 31.3039420 0 58.9 30.24 11.33  0.26
190701001 16 M0142+31 24.8985690 31.3080100 0 89.7 52.38 21.75  0.15
190701001 17 M0142+31 25.4463740 31.3097540 0 55.9 52.62 21.74  0.68
190701001 18 M0142+31 25.9942040 31.3091730 0 62.3 52.49 21.70  0.71
